"Index","C1","C2","C3","C4","C5","C6","C7","C8","c30","c60","vxxCrush"
"2006-10-23",11.95,13.16,14.08,14.6,15.03,15.53,15.65,NA,12.1315,12.194,NA
"2006-10-24",11.78,12.83,14.03,14.47,15.01,15.43,15.62,NA,11.99,11.63,NA
"2006-10-25",11.49,12.52,13.79,14.52,14.99,15.38,15.58,NA,11.7475,11.3135,NA
"2006-10-26",11.25,12.21,13.46,14.18,14.96,15.25,15.47,NA,11.538,11.085,NA
"2006-10-27",11.31,12.26,13.46,14.24,14.85,15.15,15.42,NA,11.6425,11.24,NA
"2006-10-30",11.35,12.3,13.4,14.09,14.66,15.1,15.4,NA,11.73,11.42,NA
"2006-10-31",11.31,12.16,13.23,13.99,14.61,15.04,15.22,NA,11.6925,11.3575,NA
"2006-11-01",11.55,12.43,13.22,13.94,14.49,14.88,15.16,NA,11.99,11.877,NA
"2006-11-02",11.65,12.49,13.2,13.86,14.51,14.8,15.06,NA,12.112,12.0285,NA
"2006-11-03",11.5,12.45,13.13,13.9,14.46,14.76,15.04,NA,12.07,12.042,NA
"2006-11-06",11.12,12.02,12.91,13.76,14.28,14.69,14.96,NA,11.705,11.5305,NA
"2006-11-07",11.18,12.05,12.84,13.67,14.06,14.53,14.97,NA,11.789,11.655,NA
"2006-11-08",10.92,11.85,12.81,13.39,13.94,14.43,14.86,NA,11.6175,11.418,NA
"2006-11-09",10.99,11.87,12.78,13.31,13.93,14.45,14.82,NA,11.694,11.506,NA
"2006-11-10",10.99,11.98,12.72,13.16,13.75,14.39,14.78,NA,11.8315,11.721,NA
"2006-11-13",10.59,11.97,12.68,13.17,13.7,14.33,14.75,NA,11.832,11.757,NA
"2006-11-14",10.25,11.72,12.54,13.06,13.65,14.27,14.71,NA,11.6465,11.515,NA
"2006-11-15",10.268,11.62,12.35,12.93,13.54,14.08,14.51,NA,11.62,11.62,NA
"2006-11-16",11.58,12.29,12.9,13.38,13.98,14.51,NA,NA,11.6095833333333,11.90875,NA
"2006-11-17",11.67,12.32,12.94,13.44,13.94,14.49,NA,NA,11.7241666666667,11.9583333333333,NA
"2006-11-20",11.43,12.36,13.09,13.43,13.96,14.55,15.45,NA,11.54625,11.9645833333333,NA
"2006-11-21",11.5,12.48,13.31,13.5,13.97,14.59,NA,NA,11.6633333333333,12.065,NA
"2006-11-22",11.61,12.59,13.5,13.73,14.13,14.79,NA,NA,11.8141666666667,12.1729166666667,NA
"2006-11-24",11.71,12.84,13.52,14,14.27,14.92,NA,NA,11.9925,12.5566666666667,0.496988877692908
"2006-11-27",12.46,13.39,13.98,14.32,14.52,15.11,NA,NA,12.73125,13.16875,0.147052394809399
"2006-11-28",12,12.96,13.68,14.15,14.48,14.94,NA,NA,12.32,12.72,0.251356508882278
"2006-11-29",11.46,12.58,13.44,13.89,14.41,14.91,NA,NA,11.88,12.3291666666667,0.403456548465534
"2006-11-30",11.37,12.52,13.28,13.83,14.38,14.94,NA,NA,11.8491666666667,12.33,0.358360134822846
"2006-12-01",11.65,12.74,13.5,13.95,14.49,15.18,NA,NA,12.1495833333333,12.5816666666667,0.174743191561158
"2006-12-04",11.49,12.5,13.22,13.81,14.37,15.09,NA,NA,11.995,12.38,0.283412808882154
"2006-12-05",11.52,12.55,13.24,13.67,14.26,14.97,NA,NA,12.0779166666667,12.46375,0.298244734564296
"2006-12-06",11.55,12.69,13.26,13.68,14.21,14.79,NA,NA,12.215,12.6425,0.324928834244597
"2006-12-07",12,12.77,13.54,13.82,14.25,14.86,NA,NA,12.48125,12.7379166666667,-0.0620289325714473
"2006-12-08",11.98,12.81,13.32,13.73,14.13,14.76,NA,NA,12.5333333333333,12.81,0.159817155800962
"2006-12-11",11.43,12.6,13.32,13.65,13.94,14.71,NA,NA,12.25875,12.63,0.601306309444979
"2006-12-12",11.18,12.51,13.33,14,14.1,14.77,NA,NA,12.1775,12.5783333333333,0.596582837339197
"2006-12-13",10.54,12.43,13.37,13.89,14.1,14.74,NA,NA,12.03625,12.5475,0.760101055846488
"2006-12-14",10.37,12.53,13.4,13.85,14.21,14.98,NA,NA,12.17,12.675,0.917062860779429
"2006-12-15",10.44,12.71,13.55,14.02,14.26,15.22,NA,NA,12.42625,12.885,0.975618058485125
"2006-12-18",10.56,12.74,13.62,14.02,14.36,15.17,NA,NA,12.5583333333333,12.96,0.7573096858202
"2006-12-19",10.57,12.39,13.46,13.9,14.27,15.09,NA,NA,12.3141666666667,12.7020833333333,0.806511946647125
"2006-12-20",10.053,12.35,13.39,13.92,14.31,15.04,NA,NA,12.35,12.35,1.26092680182857
"2006-12-21",12.44,13.5,14.05,14.38,15.09,NA,NA,15.74,12.50625,12.846875,1.1592227495904
"2006-12-22",12.62,13.68,14.25,14.44,15.16,NA,NA,15.83,12.7525,13.03875,0.758866093436762
