date,status,symbol,side,expiration,strike,underlying_price,pos_type,pos_price,quantity,openinterest,iv,total_raw_pnl,total_pct_pnl
2016-02-19,close,UVXY  160219P00046000,short,2016-02-19,46.0,42.36,intrinsic,3.6400000000000006,1,2539,1.660075,444.5,0.5488
2016-03-18,close,UVXY  160318P00038000,short,2016-03-18,38.0,23.85,intrinsic,14.149999999999999,1,2531,1.716923,-856.5,-1.5295
2016-04-15,close,UVXY  160415P00022000,short,2016-04-15,22.0,17.37,intrinsic,4.629999999999999,1,2531,1.567236,-191.5,-0.7015
2016-05-20,close,UVXY  160520P00015000,short,2016-05-20,15.0,13.38,intrinsic,1.6199999999999992,1,2534,1.472778,43.5,0.2101
2016-06-17,close,UVXY  160617P00014000,short,2016-06-17,14.0,14.14,intrinsic,0.0,1,122,1.394914,209.5,0.9929
2016-07-15,close,UVXY  160715P00012000,short,2016-07-15,12.0,6.81,intrinsic,5.19,1,142,1.44179,-296.5,-1.3237
2016-08-19,close,UVXY  160819P00006000,short,2016-08-19,6.0,19.78,intrinsic,0.0,1,1,1.539,71.5,0.9795
2016-09-16,close,UVXY  160916P00020000,short,2016-09-16,20.0,21.55,intrinsic,0.0,1,11,1.618583,233.5,0.9936
2016-10-21,close,UVXY  161021P00021000,short,2016-10-21,21.0,14.2,intrinsic,6.800000000000001,1,139,1.61092,-311.5,-0.8419
2016-11-18,close,UVXY  161118P00013000,short,2016-11-18,13.0,11.51,intrinsic,1.4900000000000002,1,157,1.540618,5.5,0.0353
2016-12-16,close,UVXY  161216P00011000,short,2016-12-16,11.0,8.8,intrinsic,2.1999999999999993,1,157,1.506274,-85.5,-0.6287
2017-01-20,close,UVXY  170120P00008000,short,2017-01-20,8.0,28.54,intrinsic,0.0,1,0,1.580582,96.5,0.9847
2017-02-17,close,UVXY  170217P00028000,short,2017-02-17,28.0,20.48,intrinsic,7.52,1,9,1.633005,-433.5,-1.3547
2017-03-17,close,UVXY  170317P00021000,short,2017-03-17,21.0,16.4,intrinsic,4.600000000000001,1,21,1.477216,-265.5,-1.3546
2017-04-21,close,UVXY  170421P00016000,short,2017-04-21,16.0,18.95,intrinsic,0.0,1,27,1.548228,175.5,0.9915
2017-05-19,close,UVXY  170519P00015000,short,2017-05-19,15.0,12.67,intrinsic,2.33,1,27,1.489456,-66.5,-0.3958
2017-06-16,close,UVXY  170616P00012000,short,2017-06-16,12.0,10.12,intrinsic,1.8800000000000008,1,329,1.454336,-42.5,-0.2891
2017-07-21,close,UVXY  170721P00010000,short,2017-07-21,10.0,29.9,intrinsic,0.0,1,10,1.304443,147.5,0.9899
2017-08-18,close,UVXY  170818P00029000,short,2017-08-18,29.0,39.22,intrinsic,0.0,1,74,1.614803,265.5,0.9944
2017-09-15,close,UVXY  170915P00036000,short,2017-09-15,36.0,24.78,intrinsic,11.219999999999999,1,158,1.66671,-548.5,-0.9539
2017-10-20,close,UVXY  171020P00023000,short,2017-10-20,23.0,15.27,intrinsic,7.73,1,282,1.696456,-464.5,-1.4984
2017-11-17,close,UVXY  171117P00017000,short,2017-11-17,17.0,15.9,intrinsic,1.0999999999999996,1,263,1.735227,129.5,0.5373
2017-12-15,close,UVXY  171215P00015000,short,2017-12-15,15.0,10.34,intrinsic,4.66,1,158,1.486787,-287.5,-1.5972
2018-01-19,close,UVXY  180119P00010000,short,2018-01-19,10.0,9.31,intrinsic,0.6899999999999995,1,297,1.763775,53.5,0.4315
2018-02-16,close,UVXY  180216P00009000,short,2018-02-16,9.0,16.21,intrinsic,0.0,1,280,1.66435,111.5,0.9867
2018-03-16,close,UVXY  180316P00014000,short,2018-03-16,14.0,14.39,intrinsic,0.0,1,280,1.39219,198.5,0.9925
2018-04-20,close,UVXY  180420P00016000,short,2018-04-20,16.0,15.56,intrinsic,0.4399999999999995,1,245,1.20339,164.5,0.7833
2018-05-18,close,UVXY  180518P00015000,short,2018-05-18,15.0,11.8,intrinsic,3.1999999999999993,1,248,1.331133,-174.5,-1.1871
2018-06-15,close,UVXY  180615P00011000,short,2018-06-15,11.0,9.77,intrinsic,1.2300000000000004,1,150,1.156457,-33.5,-0.3681
2018-07-20,close,UVXY  180720P00010000,short,2018-07-20,10.0,9.55,intrinsic,0.4499999999999993,1,150,1.300454,80.5,0.6339
2018-08-17,close,UVXY  180817P00009000,short,2018-08-17,9.0,8.57,intrinsic,0.4299999999999997,1,151,1.278804,32.5,0.4221
2018-09-21,close,UVXY  180921P00008000,short,2018-09-21,8.0,37.04,intrinsic,0.0,1,0,1.145149,73.5,0.98
2018-10-19,close,UVXY  181019P00037000,short,2018-10-19,37.0,52.74,intrinsic,0.0,1,0,1.159912,173.5,0.9914
2018-11-16,close,UVXY  181116P00054000,short,2018-11-16,54.0,53.5,intrinsic,0.5,1,1,1.047216,673.5,0.929
2018-12-21,close,UVXY  181221P00058000,short,2018-12-21,58.0,82.66,intrinsic,0.0,1,0,1.038024,723.5,0.9979
2019-01-18,close,UVXY  190118P00090000,short,2019-01-18,90.0,56.96,intrinsic,33.04,1,1,0.978625,-2105.5,-1.7546
2019-02-15,close,UVXY  190215P00060000,short,2019-02-15,60.0,46.27,intrinsic,13.729999999999997,1,1,1.004358,-874.5,-1.749
