date,status,symbol,side,expiration,strike,underlying_price,spot_on_open,pos_type,pos_price,original_open_price,quantity,openinterest,iv,daily_raw_pnl,daily_pct_pnl,fees_incurred
2016-01-25,open,UVXY  160219C00046000,long,2016-02-19,46.0,46.04,46.04,ask,8.35,8.35,1,220,1.730259,-0.75,-0.09,0.75
2016-01-26,hold,UVXY  160219C00046000,long,2016-02-19,46.0,42.05,46.04,mid,5.5,8.35,1,233,1.672966,-285.0,-34.13,0.0
2016-01-27,hold,UVXY  160219C00046000,long,2016-02-19,46.0,44.84,46.04,mid,6.8,8.35,1,238,1.650876,-155.0,-18.56,0.0
2016-01-28,hold,UVXY  160219C00046000,long,2016-02-19,46.0,43.1,46.04,mid,5.65,8.35,1,231,1.630972,-270.0,-32.34,0.0
2016-01-29,hold,UVXY  160219C00046000,long,2016-02-19,46.0,38.0,46.04,mid,2.6799999999999997,8.35,1,242,1.469919,-567.0,-67.9,0.0
2016-02-01,hold,UVXY  160219C00046000,long,2016-02-19,46.0,37.4,46.04,mid,2.12,8.35,1,253,1.480364,-623.0,-74.61,0.0
2016-02-02,hold,UVXY  160219C00046000,long,2016-02-19,46.0,42.28,46.04,mid,4.15,8.35,1,244,1.566718,-420.0,-50.3,0.0
2016-02-03,hold,UVXY  160219C00046000,long,2016-02-19,46.0,41.3,46.04,mid,3.425,8.35,1,242,1.558838,-492.5,-58.98,0.0
2016-02-04,hold,UVXY  160219C00046000,long,2016-02-19,46.0,42.16,46.04,mid,3.8,8.35,1,251,1.555553,-455.0,-54.49,0.0
2016-02-05,hold,UVXY  160219C00046000,long,2016-02-19,46.0,45.15,46.04,mid,5.05,8.35,1,223,1.549192,-330.0,-39.52,0.0
2016-02-08,hold,UVXY  160219C00046000,long,2016-02-19,46.0,49.12,46.04,mid,7.1,8.35,1,233,1.673496,-125.0,-14.97,0.0
2016-02-09,hold,UVXY  160219C00046000,long,2016-02-19,46.0,51.15,46.04,mid,8.075,8.35,1,211,1.62261,-27.5,-3.29,0.0
2016-02-10,hold,UVXY  160219C00046000,long,2016-02-19,46.0,51.97,46.04,mid,8.2,8.35,1,209,1.582449,-15.0,-1.8,0.0
2016-02-11,hold,UVXY  160219C00046000,long,2016-02-19,46.0,57.23,46.04,mid,12.350000000000001,8.35,1,210,1.616727,400.0,47.9,0.0
2016-02-12,hold,UVXY  160219C00046000,long,2016-02-19,46.0,53.8,46.04,mid,8.5,8.35,1,200,1.244284,15.0,1.8,0.0
2016-02-16,hold,UVXY  160219C00046000,long,2016-02-19,46.0,48.55,46.04,mid,3.325,8.35,1,204,1.168543,-502.5,-60.18,0.0
2016-02-17,hold,UVXY  160219C00046000,long,2016-02-19,46.0,44.55,46.04,mid,1.1400000000000001,8.35,1,325,1.325211,-721.0,-86.35,0.0
2016-02-18,hold,UVXY  160219C00046000,long,2016-02-19,46.0,44.15,46.04,mid,0.6299999999999999,8.35,1,701,1.444663,-772.0,-92.46,0.0
2016-02-19,close,UVXY  160219C00046000,long,2016-02-19,46.0,42.36,46.04,intrinsic,0.0,8.35,1,2539,1.660075,-835.15,-100.02,0.15
2016-02-22,open,UVXY  160318C00038000,long,2016-03-18,38.0,37.6,37.6,ask,5.2,5.2,1,308,1.373356,-0.75,-0.14,0.75
2016-02-23,hold,UVXY  160318C00038000,long,2016-03-18,38.0,41.35,37.6,mid,7.375,5.2,1,322,1.39039,217.5,41.83,0.0
2016-02-24,hold,UVXY  160318C00038000,long,2016-03-18,38.0,39.83,37.6,mid,6.375,5.2,1,334,1.412121,117.5,22.6,0.0
2016-02-25,hold,UVXY  160318C00038000,long,2016-03-18,38.0,36.87,37.6,mid,4.275,5.2,1,312,1.337562,-92.5,-17.79,0.0
