date_time,expiration,symbol,underlying_price,strike,openinterest,iv,call_put,side,quantity,pos_type,pos_value,pnl,pct_pnl,total_fee_loss
1/25/16 00:00,2016-02-19,UVXY  160219C00046000,46.04,46.0,220,1.730259,C,long,1,ask,8.35,129.349,281.19,0.001
2/22/16 00:00,2016-03-18,UVXY  160318C00038000,37.6,38.0,308,1.373356,C,long,1,ask,5.2,143.499,377.63,0.001
3/21/16 00:00,2016-04-15,UVXY  160415C00022000,21.82,22.0,490,1.234292,C,long,1,ask,2.8,149.199,678.18,0.001
4/18/16 00:00,2016-05-20,UVXY  160520C00015000,15.5,15.0,854,1.302936,C,long,1,ask,2.68,151.769,1011.79,0.001
5/23/16 00:00,2016-06-17,UVXY  160617C00014000,13.59,14.0,2420,1.364718,C,long,1,ask,1.85,99.649,711.78,0.001
6/20/16 00:00,2016-07-15,UVXY  160715C00012000,12.0,12.0,2042,1.851933,C,long,1,ask,2.5,103.999,866.66,0.001
7/18/16 00:00,2016-08-19,UVXY  160819C00006000,6.42,6.0,1482,1.29038,C,long,1,ask,1.17,46.579,776.32,0.001
8/22/16 00:00,2016-09-16,UVXY  160916C00020000,20.03,20.0,1088,1.146296,C,long,1,ask,2.46,44.539,222.7,0.001
9/19/16 00:00,2016-10-21,UVXY  161021C00021000,20.51,21.0,775,1.486299,C,long,1,ask,3.5,46.299,220.47,0.001
10/24/16 00:00,2016-11-18,UVXY  161118C00013000,13.19,13.0,773,1.23347,C,long,1,ask,1.8,48.999,376.92,0.001
11/21/16 00:00,2016-12-16,UVXY  161216C00011000,10.7,11.0,535,1.128355,C,long,1,ask,1.15,49.149,446.81,0.001
12/19/16 00:00,2017-01-20,UVXY  170120C00008000,8.2,8.0,2124,1.135128,C,long,1,ask,1.18,41.319,516.49,0.001
1/23/17 00:00,2017-02-17,UVXY  170217C00028000,27.77,28.0,311,1.071741,C,long,1,ask,2.98,42.119,150.43,0.001
2/27/17 00:00,2017-03-17,UVXY  170317C00021000,21.44,21.0,3336,1.152531,C,long,1,ask,2.35,42.849,204.04,0.001
3/20/17 00:00,2017-04-21,UVXY  170421C00016000,16.24,16.0,1718,0.979824,C,long,1,ask,1.94,42.759,267.24,0.001
4/24/17 00:00,2017-05-19,UVXY  170519C00015000,14.93,15.0,1056,1.127488,C,long,1,ask,1.82,45.729,304.86,0.001
5/22/17 00:00,2017-06-16,UVXY  170616C00012000,11.65,12.0,2403,1.078578,C,long,1,ask,1.18,50.819,423.49,0.001
6/19/17 00:00,2017-07-21,UVXY  170721C00010000,9.69,10.0,4330,1.163857,C,long,1,ask,1.2,44.299,442.99,0.001
7/24/17 00:00,2017-08-18,UVXY  170818C00029000,29.15,29.0,40,1.055734,C,long,1,ask,4.0,50.999,175.86,0.001
8/21/17 00:00,2017-09-15,UVXY  170915C00036000,35.6,36.0,955,1.517411,C,long,1,ask,5.55,54.249,150.69,0.001
9/18/17 00:00,2017-10-20,UVXY  171020C00023000,22.77,23.0,176,1.150474,C,long,1,ask,3.05,61.399,266.95,0.001
10/23/17 00:00,2017-11-17,UVXY  171117C00017000,16.52,17.0,1232,1.311255,C,long,1,ask,2.17,61.729,363.11,0.001
11/20/17 00:00,2017-12-15,UVXY  171215C00015000,14.7,15.0,3290,1.139577,C,long,1,ask,1.65,63.349,422.33,0.001
12/18/17 00:00,2018-01-19,UVXY  180119C00010000,10.01,10.0,4989,1.117474,C,long,1,ask,1.35,65.399,653.99,0.001
1/22/18 00:00,2018-02-16,UVXY  180216C00009000,9.08,9.0,5627,1.250417,C,long,1,ask,1.25,60.749,674.99,0.001
2/26/18 00:00,2018-03-16,UVXY  180316C00014000,13.59,14.0,2120,1.593354,C,long,1,ask,1.79,60.009,428.64,0.001
3/19/18 00:00,2018-04-20,UVXY  180420C00016000,15.81,16.0,2904,1.270553,C,long,1,ask,2.58,56.419,352.62,0.001
4/23/18 00:00,2018-05-18,UVXY  180518C00015000,15.28,15.0,3087,1.059078,C,long,1,ask,1.86,61.389,409.26,0.001
5/21/18 00:00,2018-06-15,UVXY  180615C00011000,11.21,11.0,1912,0.918965,C,long,1,ask,1.2,48.499,440.9,0.001
6/18/18 00:00,2018-07-20,UVXY  180720C00010000,9.74,10.0,7030,1.066022,C,long,1,ask,1.18,48.919,489.19,0.001
7/23/18 00:00,2018-08-17,UVXY  180817C00009000,9.39,9.0,3537,1.071699,C,long,1,ask,1.24,49.309,547.88,0.001
8/20/18 00:00,2018-09-21,UVXY  180921C00008000,8.42,8.0,4280,1.025419,C,long,1,ask,1.26,41.489,518.61,0.001
9/24/18 00:00,2018-10-19,UVXY  181019C00037000,36.57,37.0,542,0.800511,C,long,1,ask,5.0,66.699,180.27,0.001
10/22/18 00:00,2018-11-16,UVXY  181116C00054000,53.61,54.0,312,1.314454,C,long,1,ask,7.25,81.249,150.46,0.001
11/19/18 00:00,2018-12-21,UVXY  181221C00058000,58.32,58.0,140,1.138146,C,long,1,ask,8.25,72.749,125.43,0.001
12/24/18 00:00,2019-01-18,UVXY  190118C00090000,89.6,90.0,1024,1.256111,C,long,1,ask,12.0,121.649,135.17,0.001
1/28/19 00:00,2019-02-15,UVXY  190215C00060000,60.37,60.0,940,0.998032,C,long,1,ask,5.75,135.249,225.42,0.001
2/25/19 00:00,2019-03-15,UVXY  190315C00043000,43.23,43.0,172,0.768818,C,long,1,ask,4.25,143.249,333.14,0.001
3/18/19 00:00,2019-05-17,UVXY  190517C00038000,37.88,38.0,5125,0.86759,C,long,1,ask,6.25,141.349,371.97,0.001
5/20/19 00:00,2019-06-21,UVXY  190621C00037000,37.2,37.0,940,1.096403,C,long,1,ask,5.25,141.649,382.84,0.001
6/24/19 00:00,2019-07-19,UVXY  190719C00032000,32.28,32.0,352,0.877863,C,long,1,ask,3.1,148.849,465.15,0.001
7/22/19 00:00,2019-08-16,UVXY  190816C00026000,25.69,26.0,614,1.016428,C,long,1,ask,3.0,143.099,550.38,0.001
8/19/19 00:00,2019-09-20,UVXY  190920C00031000,30.53,31.0,296,1.158757,C,long,1,ask,4.15,149.249,481.45,0.001
9/23/19 00:00,2019-10-18,UVXY  191018C00025000,24.56,25.0,1200,1.10144,C,long,1,ask,2.95,152.949,611.8,0.001
10/21/19 00:00,2019-11-15,UVXY  191115C00021000,20.79,21.0,216,0.974337,C,long,1,ask,2.64,60.859,289.8,0.001
11/18/19 00:00,2019-12-20,UVXY  191220C00016000,16.02,16.0,860,0.988258,C,long,1,ask,2.0,63.999,399.99,0.001
12/23/19 00:00,2020-01-17,UVXY  200117C00013000,12.8,13.0,823,1.167837,C,long,1,ask,1.4,66.099,508.45,0.001
1/27/20 00:00,2020-02-21,UVXY  200221C00014000,13.56,14.0,2175,1.306623,C,long,1,ask,1.76,65.239,465.99,0.001
2/24/20 00:00,2020-03-20,UVXY  200320C00015000,15.43,15.0,5291,1.907653,C,long,1,ask,2.95,206.549,1376.99,0.001
3/23/20 00:00,2020-04-17,UVXY  200417C00065000,64.8,65.0,115,2.753167,C,long,1,ask,22.05,205.949,316.84,0.001
4/20/20 00:00,2020-05-15,UVXY  200515C00052000,52.25,52.0,16,1.631469,C,long,1,ask,9.7,220.949,424.9,0.001
5/18/20 00:00,2020-06-19,UVXY  200619C00035000,35.09,35.0,793,1.722158,C,long,1,ask,7.9,225.199,643.43,0.001
6/22/20 00:00,2020-07-17,UVXY  200717C00034000,33.77,34.0,56,1.858998,C,long,1,ask,7.8,234.899,690.88,0.001
7/20/20 00:00,2020-08-21,UVXY  200821C00026000,25.68,26.0,581,1.421295,C,long,1,ask,4.3,244.799,941.53,0.001
8/24/20 00:00,2020-09-18,UVXY  200918C00020000,19.8,20.0,2406,1.321912,C,long,1,ask,2.76,246.239,1231.2,0.001
9/21/20 00:00,2020-10-16,UVXY  201016C00020000,20.39,20.0,2142,1.362824,C,long,1,ask,3.25,248.749,1243.75,0.001
10/19/20 00:00,2020-11-20,UVXY  201120C00018000,18.01,18.0,832,1.637135,C,long,1,ask,3.5,251.499,1397.22,0.001
11/23/20 00:00,2020-12-18,UVXY  201218C00012000,12.28,12.0,2234,1.300711,C,long,1,ask,1.87,254.629,2121.91,0.001
12/21/20 00:00,2021-01-15,UVXY  210115C00012000,12.27,12.0,7601,1.520272,C,long,1,ask,2.15,255.349,2127.91,0.001
1/25/21 00:00,2021-02-19,UVXY  210219C00011000,10.75,11.0,7398,1.571562,C,long,1,ask,1.8,257.449,2340.45,0.001
2/22/21 00:00,2021-03-19,UVXY  210319C00009000,9.26,9.0,7196,1.383516,C,long,1,ask,1.51,260.289,2892.1,0.001
3/22/21 00:00,2021-04-16,UVXY  210416C00006000,6.07,6.0,3381,1.089602,C,long,1,ask,0.74,264.459,4407.65,0.001
