date_time,expiration,symbol,underlying_price,strike,openinterest,call_put,side,quantity,pos_type,pos_value,pnl,total_fee_loss
1/22/18 00:00,2018-02-16,VXXB  180216P00027000,26.5302,27.0,0,P,short,1,bid,1.9,-36.001,0.001
2/26/18 00:00,2018-03-16,VXXB  180316P00039000,38.8,39.0,0,P,short,1,bid,2.45,-38.051,0.001
3/19/18 00:00,2018-04-20,VXXB  180420P00043000,42.68,43.0,0,P,short,1,bid,4.0,-31.501,0.001
4/23/18 00:00,2018-05-18,VXXB  180518P00042000,41.6,42.0,0,P,short,1,bid,3.0,-22.401,0.001
5/21/18 00:00,2018-06-15,VXXB  180615P00034000,34.0,34.0,6,P,short,1,bid,1.95,-12.051,0.001
6/18/18 00:00,2018-07-20,VXXB  180720P00031000,31.26,31.0,0,P,short,1,bid,2.15,-25.351,0.001
7/23/18 00:00,2018-08-17,VXXB  180817P00032000,31.56,32.0,0,P,short,1,bid,2.85,-25.351,0.001
8/20/18 00:00,2018-09-21,VXXB  180921P00029000,28.88,29.0,0,P,short,1,bid,2.4,-33.901,0.001
9/24/18 00:00,2018-10-19,VXXB  181019P00027000,26.67,27.0,0,P,short,1,bid,1.8,-28.301,0.001
10/22/18 00:00,2018-11-16,VXXB  181116P00035000,34.58,35.0,0,P,short,1,bid,3.3,-22.901,0.001
11/19/18 00:00,2018-12-21,VXXB  181221P00037000,37.05,37.0,0,P,short,1,bid,3.1,-21.801,0.001
12/24/18 00:00,2019-01-18,VXXB  190118P00049000,49.43,49.0,0,P,short,1,bid,3.8,-51.501,0.001
1/28/19 00:00,2019-02-15,VXXB  190215P00039000,38.72,39.0,1118,P,short,1,bid,2.4,-57.101,0.001
2/25/19 00:00,2019-03-15,VXXB  190315P00031000,31.13,31.0,6993,P,short,1,bid,1.4,-62.301,0.001
3/18/19 00:00,2019-05-17,VXXB  190517P00029000,28.58,29.0,371,P,short,1,bid,2.9,-60.551,0.001
5/20/19 00:00,2019-06-21,VXX   190621P00029000,28.81,29.0,7648,P,short,1,bid,2.49,-64.511,0.001
6/24/19 00:00,2019-07-19,VXX   190719P00026000,26.37,26.0,7480,P,short,1,bid,1.39,-68.411,0.001
7/22/19 00:00,2019-08-16,VXX   190816P00023000,22.84,23.0,9686,P,short,1,bid,1.47,-64.031,0.001
8/19/19 00:00,2019-09-20,VXX   190920P00026000,26.14,26.0,2564,P,short,1,bid,2.26,-65.641,0.001
